ID,Gender,Age,AgeGroup,Condition,Race,Agent,WithinSide,PredictQ1,PredictQ2,PredictQ3,PredictQ4,PredictQ5,PredictQ6,PredictTrials,PredictTotal,,KEY
3156,1,3.5975,0,1,1,0,0,0,0,0,0, , ,4,0,,
3241,1,3.5537,0,1,3,1,0,1,1,1,0, , ,4,3,,"GENDER: 0=female, 1=male"
3301,1,3.9069,0,1, ,0,1,0,0,0,0, , ,4,0,,"AGEGROUP: 0=3’s, 1=4’s"
3394,1,3.5483,0,1,1,0,1,1,0,0,0, , ,4,1,,"CONDITION: 1=harmful, 2=prosocial, 3=friendship, 4=saving"
3420,1,3.5565,0,1,1,1,0,1,1,0,0, , ,4,2,,"RACE: 1=white, 2=black, 3=asian, 4=hispanic, 5=middle eastern, 6=mixed"
3425,1,3.6413,0,1, ,1,1,0,0,0,0, , ,4,0,,"AGENT: 0=flurp, 1=zazz"
3475,1,3.8029,0,1,6,0,0,0,1,1,0, , ,4,2,,"WITHINSIDE: 0=left, 1=right"
3544,1,3.5017,0,1, ,1,0,0,1,0,1, , ,4,2,,"PREDICTn: 0=between, 1=within"
3576,1,3.6441,0,1, ,1,1,1,0,1,0, , ,4,2,,
3602,1,3.6441,0,1, ,0,1,0,1,1,1, , ,4,3,,
3691,1,3.7837,0,1, ,1,0,0,0,1,1, , ,4,2,,
3719,1,3.8439,0,1, ,1,1,0,1,0,1, , ,4,2,,
3268,0,3.4962,0,1,2,0,0,0,0,0,0, , ,4,0,,
3274,0,3.5702,0,1, ,0,1,0,0,0,0, , ,4,0,,
3482,0,3.7509,0,1,6,1,1,0,0,0,0, , ,4,0,,
3664,0,3.6523,0,1, ,1,1,1,0,1,1, , ,4,3,,
3670,0,3.8604,0,1, ,0,0,0,1,1,0, , ,4,2,,
3687,0,3.8494,0,1, ,0,1,1,1,1,1, , ,4,4,,
3721,0,3.7591,0,1, ,0,0,0,0,0,0, , ,4,0,,
3744,0,3.6824,0,1, ,0,1,0,0,0,0, , ,4,0,,
4738,1,3.8029,0,4,1,0,1,1,0,1,0,1,0,6,3,,
4871,1,3.8303,0,4,3,0,0,1,1,1,1,1,1,6,6,,
4958,1,3.7618,0,4,4,0,1,0,1,0,0,1,0,6,2,,
5002,1,3.9945,0,4,6,1,1,1,1,0,0,1,1,6,4,,
5063,1,3.8686,0,4,1,0,1,1,1,1,1,1,1,6,6,,
5094,1,3.9425,0,4,3,1,0,0,0,0,0,0,0,6,0,,
5104,1,3.8275,0,4,1,1,0,0,0,0,0,0,0,6,0,,
4697,1,4.5914,1,4,1,1,0,1,0,1,0,0,0,6,2,,
4715,1,4.2108,1,4,3,1,1,1,0,1,1,0,0,6,3,,
4719,1,4.8214,1,4,1,0,0,1,1,1,1,1,1,6,6,,
4723,1,4.0712,1,4, ,1,0,0,0,1,1,1,1,6,4,,
4742,1,4.2464,1,4,1,1,1,1,1,1,1,1,1,6,6,,
4744,1,4.6133,1,4,1,1,0,1,1,1,1,1,1,6,6,,
4748,1,4.3587,1,4,4,0,0,0,1,1,1,0,0,6,3,,
4782,1,4.553,1,4,1,0,1,0,0,0,0,0,0,6,0,,
4784,1,4.8542,1,4,4,1,1,1,1,1,1,1,1,6,6,,
4803,1,4.1205,1,4, ,0,1,1,1,1,1,1,1,6,6,,
4843,1,4.5448,1,4, ,1,1,1,1,1,1,1,1,6,6,,
4836,0,3.9425,0,4, ,0,0,0,0,0,1,0,0,6,1,,
4866,0,3.8795,0,4,1,0,1,1,1,1,1,1,1,6,6,,
4875,0,3.6468,0,4,1,1,1,0,1,1,0,1,1,6,4,,
4910,0,3.5565,0,4,1,1,0,0,1,0,0,0,0,6,1,,
4951,0,3.499,0,4,3,0,1,0,0,0,0,0,0,6,0,,
4953,0,3.8056,0,4, ,1,0,1,1,0,0,1,0,6,3,,
4999,0,3.7426,0,4,6,0,0,0,1,0,1,1,1,6,4,,
5004,0,3.8193,0,4,6,1,0,0,1,0,1,0,1,6,3,,
5046,0,3.447,0,4,4,1,1,0,1,0,1,1,1,6,4,,
5048,0,3.9562,0,4,2,1,1,1,0,1,1,1,1,6,5,,
5085,0,3.77,0,4,6,0,0,0,1,1,0,0,1,6,3,,
5106,0,3.6003,0,4,1,0,1,0,1,1,0,1,0,6,3,,
5121,0,3.6523,0,4,3,1,1,1,1,0,0,0,0,6,2,,
4699,0,4.4846,1,4,6,0,0,0,1,0,1,0,1,6,3,,
4717,0,4.345,1,4,1,0,1,1,1,1,1,1,0,6,5,,
4747,0,4.334,1,4, ,0,0,1,1,1,1,1,1,6,6,,
4754,0,4.8077,1,4,1,1,0,0,1,1,0,0,1,6,3,,
4783,0,4.2026,1,4, ,0,0,1,0,0,1,1,1,6,4,,
4786,0,4.909,1,4,1,0,0,1,1,1,1,1,1,6,6,,
4805,0,4.0931,1,4,4,1,1,0,0,1,1,0,0,6,2,,
4841,0,4.3723,1,4,2,0,1,1,1,1,1,1,1,6,6,,
4932,0,4.5941,1,4,4,0,0,0,1,0,1,0,0,6,2,,
3424,1,3.5483,0,3,2,1,1,0,1,0,0, , ,4,1,,
3477,1,3.5017,0,3,6,0,1,1,1,1,1, , ,4,4,,
3565,1,3.8631,0,3, ,1,0,0,1,0,1, , ,4,2,,
3598,1,4,0,3, ,0,1,1,1,1,1, , ,4,4,,
3604,1,3.781,0,3, ,1,1,0,0,0,0, , ,4,0,,
3654,1,3.6331,0,3, ,1,0,1,1,1,1, , ,4,4,,
3325,0,3.6222,0,3,3,0,0,1,1,1,1, , ,4,4,,
3414,0,3.7125,0,3,2,0,0,1,1,1,1, , ,4,4,,
3422,0,3.718,0,3,1,0,1,1,1,1,1, , ,4,4,,
3501,0,3.5209,0,3, ,0,1,1,1,1,1, , ,4,4,,
3510,0,3.5017,0,3, ,0,0,1,1,1,1, , ,4,4,,
3594,0,3.8768,0,3, ,0,1,1,1,1,1, , ,4,4,,
3592,0,3.9124,0,3, ,0,0,1,1,1,1, , ,4,4,,
3646,0,3.7344,0,3, ,1,1,1,1,1,1, , ,4,4,,
3667,0,3.5181,0,3, ,1,0,0,0,0,1, , ,4,1,,
3690,0,3.781,0,3, ,1,1,0,0,0,0, , ,4,0,,
3716,0,3.9617,0,3, ,0,0,1,1,1,1, , ,4,4,,
3782,0,3.8357,0,3, ,1,0,1,1,1,1, , ,4,4,,
3827,0,3.7591,0,3, ,0,0,0,1,1,0, , ,4,2,,
3854,0,3.5702,0,3, ,1,1,1,1,1,1, , ,4,4,,
3178,1,3.9425,0,2, ,0,1,0,1,1,0, , ,4,2,,
3302,1,3.5209,0,2, ,1,1,1,1,1,1, , ,4,4,,
3421,1,3.5565,0,2,1,1,1,0,0,0,0, , ,4,0,,
3580,1,3.9151,0,2, ,1,0,0,0,0,0, , ,4,0,,
3688,1,3.8494,0,2, ,0,1,1,1,1,1, , ,4,4,,
3697,1,3.8877,0,2, ,1,0,1,1,1,1, , ,4,4,,
3729,1,3.655,0,2, ,1,1,0,0,0,1, , ,4,1,,
3180,0,3.5921,0,2,2,1,1,0,1,1,1, , ,4,3,,
3321,0,3.5647,0,2,1,0,1,1,1,1,1, , ,4,4,,
3360,0,3.6769,0,2,5,0,1,0,0,0,1, , ,4,1,,
3496,0,3.6304,0,2,1,0,0,1,1,1,1, , ,4,4,,
3509,0,3.7563,0,2, ,0,0,0,0,0,0, , ,4,0,,
3541,0,3.5866,0,2, ,0,0,1,1,0,0, , ,4,2,,
3550,0,3.5072,0,2, ,1,0,1,1,1,1, , ,4,4,,
3564,0,3.8631,0,2, ,0,0,0,0,0,0, , ,4,0,,
