ID,Gender,Age,Ethnicity,Evidence,Agent,WithinSide,Behavior,Context,PredictQ1,PredictQ2,PredictQ3,PredictQ4,PredictQ5,PredictQ6,PredictMatch,NumQs
5883,male,4.0465,asian,one piece,blue,left,Harmful,Intergroup,1,1,1,1,1,1,6,6
5606,male,4.6297, ,one piece,blue,left,Harmful,Intergroup,1,1,1,1,1,1,6,6
7101,male,4.6817, ,one piece,blue,left,Harmful,Intergroup,1,1,1,1,1,1,6,6
6130,female,4.7009,white,five pieces,blue,left,Harmful,Intergroup,0,1,0,1,0,1,3,6
7388,female,4.3915,white,five pieces,blue,left,Harmful,Intergroup,1,1,1,0,0,1,4,6
5433,male,4.8679,white,five pieces,blue,left,Harmful,Intergroup,1,1,1,1,1,1,6,6
5834,male,4.334,black,five pieces,blue,left,Harmful,Intergroup,1,0,1,1,1,1,5,6
5824,female,4.5613,white,one piece,red,left,Harmful,Intergroup,0,0,0,0,0,0,0,6
5431,female,4.4435,asian,one piece,red,left,Harmful,Intergroup,1,0,1,0,1,1,4,6
5924,female,4.6543,asian,one piece,red,left,Harmful,Intergroup,0,1,0,0,1,1,3,6
7350,female,4.9637,white,five pieces,red,left,Harmful,Intergroup,0,1,1,0,0,0,2,6
7380,female,4.6626,asian,five pieces,red,left,Harmful,Intergroup,0,0,1,1,0,1,3,6
7191,male,4.9747,white,one piece,blue,right,Harmful,Intergroup,1,0,1,0,1,1,4,6
7201,male,4.5038,white,one piece,blue,right,Harmful,Intergroup,0,1,0,1,0,1,3,6
4427,female,4.115,white,five pieces,blue,right,Harmful,Intergroup,1,0,1,0,1,0,3,6
5823,male,4.0356,white,five pieces,blue,right,Harmful,Intergroup,1,1,0,1,1,1,5,6
7257,male,4.293,white,five pieces,blue,right,Harmful,Intergroup,0,0,0,0,0,0,0,6
4454,female,4.0383,white,one piece,red,right,Harmful,Intergroup,0,1,1,1,0,1,4,6
5919,male,4.386,white,one piece,red,right,Harmful,Intergroup,1,1,0,1,1,0,4,6
5638,male,4.1314,asian,one piece,red,right,Harmful,Intergroup,0,1,0,1,0,0,2,6
7203,male,4.4353,asian,one piece,red,right,Harmful,Intergroup,0,1,1,0,1,1,4,6
5928,female,4.6543,hispanic,five pieces,red,right,Harmful,Intergroup,1,1,1,1,1,1,6,6
5809,female,4.0274,mixed,five pieces,red,right,Harmful,Intergroup,1,0,1,0,1,1,4,6
5635,male,4.4682, ,five pieces,red,right,Harmful,Intergroup,0,1,1,1,1,1,5,6
7401,male,4.7201,white,one piece,blue,left,Harmful,Intragroup,0,0,1,0,0,0,1,6
7371,male,4.167,black,one piece,blue,left,Harmful,Intragroup,1,1,0,1,0,1,4,6
5675,male,4.3176,mixed,one piece,blue,left,Harmful,Intragroup,0,0,1,0,0,0,1,6
5730,male,4.9309,mixed,one piece,blue,left,Harmful,Intragroup,1,0,0,0,0,0,1,6
5600,female,4.1588,white,five pieces,blue,left,Harmful,Intragroup,1,0,1,0,0,0,2,6
5673,female,4.0767,white,five pieces,blue,left,Harmful,Intragroup,1,0,0,1,1,1,4,6
4644,male,4.1533,white,five pieces,blue,left,Harmful,Intragroup,1,0,1,0,0,0,2,6
7407,male,4.3641,white,five pieces,blue,left,Harmful,Intragroup,1,0,0,0,0,0,1,6
